threshold,probability
0.0,0.0
7964.078926667792,0.0
15928.157853335584,0.0
23892.236780003375,0.0
31856.31570667117,0.0
39820.39463333896,0.0
47784.47356000675,0.0
55748.55248667455,0.0
63712.63141334234,0.0
71676.71034001013,0.0
79640.78926667792,0.0
87604.86819334571,0.0001
95568.9471200135,0.0001
103533.02604668129,0.0003
111497.1049733491,0.0004
119461.18390001688,0.0007
127425.26282668467,0.001
135389.34175335246,0.0024
143353.42068002027,0.0045
151317.49960668804,0.0088
159281.57853335585,0.0152
167245.65746002362,0.0244
175209.73638669142,0.0368
183173.81531335923,0.0528
191137.894240027,0.072
199101.9731666948,0.0961
207066.05209336258,0.1271
215030.13102003039,0.1616
222994.2099466982,0.2005
230958.28887336596,0.2404
238922.36780003377,0.2872
246886.44672670154,0.3322
254850.52565336935,0.381
262814.6045800371,0.4225
270778.6835067049,0.469
278742.7624333727,0.515
286706.84136004053,0.5573
294670.9202867083,0.5964
302634.9992133761,0.6359
310599.0781400439,0.6761
318563.1570667117,0.7116
326527.2359933795,0.7412
334491.31492004724,0.7699
342455.39384671504,0.796
350419.47277338285,0.8203
358383.55170005065,0.8448
366347.63062671846,0.8638
374311.7095533862,0.8815
382275.788480054,0.896
390239.8674067218,0.9092
398203.9463333896,0.9227
406168.0252600574,0.9323
414132.10418672516,0.9422
422096.18311339297,0.9492
430060.26204006077,0.9579
438024.3409667286,0.9642
445988.4198933964,0.9697
453952.4988200641,0.9743
461916.5777467319,0.9778
469880.65667339973,0.9814
477844.73560006754,0.9849
485808.81452673534,0.9873
493772.8934534031,0.9887
501736.9723800709,0.9908
509701.0513067387,0.9922
517665.1302334065,0.994
525629.2091600742,0.9955
533593.288086742,0.9959
541557.3670134099,0.9963
549521.4459400777,0.9968
557485.5248667455,0.9974
565449.6037934133,0.9977
573413.6827200811,0.9979
581377.7616467489,0.9983
589341.8405734166,0.9984
597305.9195000844,0.9986
605269.9984267522,0.9987
613234.07735342,0.9988
621198.1562800878,0.9991
629162.2352067556,0.9993
637126.3141334234,0.9994
645090.3930600912,0.9996
653054.471986759,0.9996
661018.5509134268,0.9997
668982.6298400945,0.9997
676946.7087667623,0.9997
684910.7876934301,0.9997
692874.8666200979,0.9997
700838.9455467657,0.9998
708803.0244734335,0.9998
716767.1034001013,1.0
724731.1823267691,1.0
732695.2612534369,1.0
740659.3401801047,1.0
748623.4191067724,1.0
756587.4980334402,1.0
764551.576960108,1.0
772515.6558867758,1.0
780479.7348134436,1.0
788443.8137401114,1.0
